Word,num_rhymes_full_elp,num_rhymes_1000_coca,num_rhymes_2500_coca,num_rhymes_5000_coca,num_rhymes_10000_coca,Ortho_N,Phono_N,Phono_N_H,OG_N,OLD,OLDF,PLD,PLDF,BG_Mean,I_Mean_RT,I_Zscore,I_SD,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Mean_Accuracy
tries,65,0,0,0,0,11,16,16,7,1.45,7.61,1.35,8.16,6588.5,649.22,-0.44,209.47,0.89,612.79,-0.41,99.46,1
trifle,2,0,0,0,0,1,2,2,0,1.9,6.65,1.9,7.32,3614.6,701.93,-0.21,183.04,0.85,761.5,0.04,259.63,0.96
trifling,2,0,0,0,0,2,0,0,0,2.4,6.61,2.6,6.26,5795.71,965.07,0.53,248.11,0.82,705,-0.06,173.89,1
trig,17,0,0,0,0,8,9,13,6,1.7,8.08,1.6,7.84,3697,887.36,0.43,192.38,0.41,639.37,-0.45,109.87,0.93
trigger,4,0,1,1,1,0,3,3,0,2.25,6.42,1.75,6.19,4527.17,627.64,-0.58,157.06,1,624.52,-0.38,97.76,1
triggered,1,0,0,0,0,0,1,1,0,3.35,5.67,2.45,5.68,5440.88,764.16,-0.11,221.54,0.94,669.26,-0.33,102.59,1
trilateral,5,0,0,0,0,0,0,0,0,4.05,6.7,5.05,6.34,6516.56,1074.83,1.04,380.87,0.56,976.04,1.11,339.78,0.89
trill,46,0,0,0,0,8,18,18,6,1.65,7.92,1.05,7.4,4108.25,773.83,-0.26,500.37,0.39,686.09,-0.24,166.3,0.82
trillion,9,0,0,3,5,0,0,0,0,2.85,6.11,2.65,7.25,4955.43,896.68,0.24,257.4,0.88,733.65,0.02,161.25,1
trilogy,0,0,0,0,0,0,0,0,0,3,6.92,3.15,7.03,2818.17,713.4,-0.23,273.33,0.91,686.67,-0.07,141.74,0.96
trim,22,0,2,8,13,9,12,12,7,1.5,8.05,1.2,8.14,3737.33,681.58,-0.38,222.09,0.97,678.22,-0.29,318.1,1
trimester,16,0,0,0,0,0,0,0,0,3.35,6.57,3.9,7.16,7065,985.11,0.58,404.65,0.84,751.89,0.03,151.52,0.96
trimmed,5,0,0,0,0,3,5,5,3,2,6.58,1.7,6.63,3907.5,703.74,-0.35,234.53,1,671.11,-0.29,130.83,0.96
trimmer,9,0,0,0,0,3,7,7,3,2.15,6.54,1.8,6.72,4751.67,675.71,-0.27,204.18,0.94,692.31,-0.23,123.05,1
trimming,5,0,0,0,0,2,5,5,2,2.4,6.64,1.85,6.87,5440.43,758.18,-0.03,246.85,0.88,677.11,-0.14,114.17,1
trimmings,0,0,0,0,0,0,0,0,0,3,6.54,2.5,6.25,4843,692.58,-0.26,188.37,0.84,708.96,-0.03,142.41,1
trims,14,0,0,0,0,7,7,7,3,1.8,7.68,1.8,7.71,2960.25,742.79,-0.29,284.7,0.85,661.38,-0.41,139.97,1
trinity,4,0,0,0,1,0,0,0,0,3,6.5,2.75,6.44,5410.83,770.55,-0.05,334.51,1,655.81,-0.2,135.27,1
trinket,0,0,0,0,0,0,0,0,0,2.35,6.43,2.55,6.41,4925.83,788.34,0.04,277.51,0.94,661.96,-0.34,104.32,1
trinkets,0,0,0,0,0,0,0,0,0,2.5,6.16,2.8,6.2,4611.71,804.46,0.05,317.97,0.82,654,-0.24,108.96,0.88
trio,0,0,0,0,0,4,4,4,0,1.8,8.24,1.8,8.36,4557,704.65,-0.23,283.05,0.91,691.77,-0.25,128.19,1
trip,30,2,9,17,19,8,16,16,6,1.45,7.98,1.1,8.3,3502.67,545.91,-0.79,126.58,0.97,603.79,-0.51,102.26,1
tripartite,1,0,0,0,0,0,0,0,0,4.6,6.45,5.15,5.62,4731,784.67,0.56,486.49,0.1,1029.89,1.14,341.41,0.47
tripe,8,0,0,0,0,7,15,15,6,1.55,7.8,1.35,8.49,3423,697,-0.11,293.39,0.46,676.46,-0.33,239.73,1
